transaction_id,transaction_date,customer_id,store_id,product_id,quantity,unit_price,total_amount,payment_method,discount_applied
TXN000021,2024-07-23 17:50:00,CUST1130,STR055,PRD214,2,323.86,647.72,Card,5
TXN000022,2024-08-18 19:43:00,CUST1970,STR071,PRD252,1,596.51,596.51,Card,10
TXN000023,2024-08-04 16:19:00,CUST0981,STR015,PRD301,1,37.55,37.55,GCash,10
TXN000024,2024-08-12 19:18:00,CUST1155,STR023,PRD228,2,349.53,699.06,Cash,0
TXN000025,2024-07-01 17:33:00,CUST0188,STR052,PRD399,1,39.62,39.62,GCash,10
TXN000026,2024-07-01 10:54:00,CUST0204,STR030,PRD090,2,291.13,582.26,GCash,15
TXN000027,2024-06-18 08:57:00,CUST1450,STR095,PRD322,2,84.51,169.02,Card,0
TXN000028,2024-07-24 18:52:00,CUST0183,STR004,PRD151,2,18.72,37.44,Cash,0
TXN000029,2024-07-01 14:39:00,CUST0683,STR073,PRD091,1,113.22,113.22,Cash,5
TXN000030,2024-07-13 16:45:00,CUST1420,STR089,PRD311,1,18.4,18.4,Cash,0
TXN000031,2024-08-31 17:45:00,CUST0911,STR073,PRD217,2,161.4,322.8,Cash,0
TXN000032,2024-07-05 20:22:00,CUST1680,STR038,PRD343,1,75.38,75.38,Cash,0
TXN000033,2024-06-08 14:56:00,CUST1017,STR005,PRD363,1,171.48,171.48,Cash,10
TXN000034,2024-06-25 09:28:00,CUST0015,STR038,PRD492,1,51.44,51.44,Cash,0
TXN000035,2024-07-14 13:58:00,CUST0221,STR054,PRD111,1,109.28,109.28,Cash,15
TXN000036,2024-07-28 14:17:00,CUST0943,STR021,PRD331,1,60.81,60.81,Cash,0
TXN000037,2024-07-24 15:05:00,CUST1955,STR076,PRD035,1,65.42,65.42,Card,0
TXN000038,2024-07-26 07:30:00,CUST1969,STR039,PRD319,1,96.67,96.67,GCash,0
TXN000039,2024-08-29 20:30:00,CUST1485,STR077,PRD286,2,56.57,113.14,Cash,0
TXN000040,2024-06-26 15:34:00,CUST1735,STR078,PRD265,4,179.17,716.68,GCash,15
TXN000041,2024-06-21 07:38:00,CUST1731,STR068,PRD207,1,461.58,461.58,GCash,10
TXN000042,2024-07-09 09:29:00,CUST0211,STR031,PRD045,3,59.14,177.42,Cash,5
TXN000043,2024-08-29 08:06:00,CUST1908,STR037,PRD330,3,108.48,325.44,Cash,15
TXN000044,2024-07-24 19:01:00,CUST0142,STR024,PRD121,2,137.23,274.46,Cash,0
TXN000045,2024-06-28 16:36:00,CUST0396,STR068,PRD484,5,115.5,577.5,GCash,0
TXN000046,2024-06-14 19:20:00,CUST0416,STR007,PRD290,3,21.38,64.14,Cash,0
TXN000047,2024-06-28 20:58:00,CUST1575,STR068,PRD173,1,25.43,25.43,GCash,0
TXN000048,2024-07-10 10:23:00,CUST1906,STR046,PRD096,2,80.68,161.36,PayMaya,0
TXN000049,2024-06-29 18:23:00,CUST0254,STR006,PRD207,1,461.58,461.58,GCash,10
TXN000050,2024-07-08 17:55:00,CUST0717,STR091,PRD418,1,297.28,297.28,Cash,0
TXN000051,2024-08-21 17:00:00,CUST1681,STR100,PRD284,2,12.43,24.86,Cash,0
TXN000052,2024-06-15 08:32:00,CUST0283,STR075,PRD082,1,122.42,122.42,Cash,0
TXN000053,2024-06-06 13:27:00,CUST0997,STR088,PRD388,1,172.51,172.51,Cash,0
TXN000054,2024-08-31 20:10:00,CUST1470,STR020,PRD121,2,137.23,274.46,Cash,0
TXN000055,2024-06-20 20:08:00,CUST0472,STR078,PRD171,3,59.16,177.48,GCash,0
TXN000056,2024-08-20 08:55:00,CUST0828,STR054,PRD202,5,275.14,1375.7,Cash,5
TXN000057,2024-07-08 08:44:00,CUST0128,STR014,PRD377,1,168.86,168.86,GCash,10
TXN000058,2024-07-27 19:05:00,CUST1167,STR020,PRD109,1,45.34,45.34,GCash,0
TXN000059,2024-07-26 18:32:00,CUST1273,STR081,PRD399,3,39.62,118.86,PayMaya,15
TXN000060,2024-07-16 09:01:00,CUST0677,STR013,PRD105,1,65.83,65.83,Cash,0
TXN000061,2024-06-02 12:00:00,CUST0178,STR022,PRD259,1,259.49,259.49,GCash,0
TXN000062,2024-08-29 17:24:00,CUST1458,STR011,PRD031,2,79.08,158.16,GCash,0
TXN000063,2024-07-08 09:24:00,CUST1419,STR012,PRD268,1,167.87,167.87,Cash,5
TXN000064,2024-08-14 19:06:00,CUST0747,STR094,PRD425,2,167.7,335.4,Card,10
TXN000065,2024-07-13 12:25:00,CUST0528,STR041,PRD017,2,64.01,128.02,Cash,0
TXN000066,2024-07-05 08:54:00,CUST0013,STR059,PRD421,1,177.67,177.67,GCash,0
TXN000067,2024-06-06 17:20:00,CUST1662,STR030,PRD239,1,538.75,538.75,Cash,0
TXN000068,2024-07-13 08:57:00,CUST0633,STR050,PRD067,2,274.17,548.34,Cash,0
TXN000069,2024-08-18 18:24:00,CUST0364,STR001,PRD249,4,278.36,1113.44,Cash,0
TXN000070,2024-08-01 09:43:00,CUST1132,STR044,PRD044,3,35.34,106.02,GCash,0
TXN000071,2024-08-22 09:06:00,CUST0258,STR027,PRD458,1,126.14,126.14,Card,10
TXN000072,2024-08-24 12:14:00,CUST0964,STR081,PRD276,1,58.17,58.17,Cash,5
TXN000073,2024-07-25 07:46:00,CUST1596,STR085,PRD143,1,34.35,34.35,GCash,5
TXN000074,2024-07-01 15:00:00,CUST1643,STR098,PRD144,2,25.81,51.62,Cash,0
TXN000075,2024-06-05 19:12:00,CUST0719,STR053,PRD312,1,54.4,54.4,Card,5
TXN000076,2024-08-21 20:07:00,CUST0394,STR058,PRD256,2,765.37,1530.74,GCash,0
TXN000077,2024-07-28 19:52:00,CUST1244,STR078,PRD470,2,39.57,79.14,Cash,15
TXN000078,2024-06-26 15:32:00,CUST0341,STR091,PRD128,2,242.65,485.3,PayMaya,0
TXN000079,2024-08-11 07:59:00,CUST0663,STR001,PRD480,1,108.29,108.29,Cash,0
TXN000080,2024-08-06 18:05:00,CUST1959,STR024,PRD420,2,296.62,593.24,GCash,10
TXN000081,2024-06-15 19:59:00,CUST1686,STR038,PRD119,1,173.8,173.8,Cash,0
TXN000082,2024-07-11 19:27:00,CUST1432,STR049,PRD288,2,54.93,109.86,Cash,0
TXN000083,2024-08-10 19:40:00,CUST0986,STR055,PRD441,3,93.87,281.61,Cash,0
TXN000084,2024-08-20 07:41:00,CUST0727,STR038,PRD253,1,634.97,634.97,Cash,0
TXN000085,2024-07-23 15:40:00,CUST0770,STR053,PRD237,1,473.97,473.97,Cash,10
TXN000086,2024-08-01 09:02:00,CUST0134,STR069,PRD176,2,76.35,152.7,Cash,0
TXN000087,2024-07-04 07:15:00,CUST0848,STR033,PRD391,1,181.01,181.01,GCash,0
TXN000088,2024-07-10 12:42:00,CUST1248,STR091,PRD470,1,39.57,39.57,Cash,10
TXN000089,2024-08-31 07:35:00,CUST1927,STR049,PRD176,2,76.35,152.7,GCash,0
TXN000090,2024-07-17 15:07:00,CUST1249,STR050,PRD159,1,16.95,16.95,GCash,0
TXN000091,2024-07-20 10:09:00,CUST1750,STR054,PRD009,1,132.22,132.22,GCash,0
TXN000092,2024-06-27 20:44:00,CUST1966,STR007,PRD344,3,64.13,192.39,GCash,0
TXN000093,2024-06-23 14:29:00,CUST1289,STR001,PRD364,2,93.3,186.6,Card,0
TXN000094,2024-08-18 19:04:00,CUST0729,STR043,PRD145,1,41.86,41.86,Cash,0
TXN000095,2024-07-06 20:04:00,CUST0062,STR091,PRD367,1,199.94,199.94,Cash,0
TXN000096,2024-06-12 09:16:00,CUST0421,STR041,PRD451,3,94.53,283.59,Cash,5
TXN000097,2024-06-07 08:24:00,CUST0252,STR092,PRD483,1,71.08,71.08,GCash,0
TXN000098,2024-06-05 09:33:00,CUST1069,STR075,PRD317,1,32.63,32.63,PayMaya,0
TXN000099,2024-06-29 12:41:00,CUST1904,STR053,PRD360,2,97.35,194.7,Card,10
TXN000100,2024-06-25 07:52:00,CUST1003,STR051,PRD018,1,112.23,112.23,Cash,5
TXN000101,2024-08-12 07:29:00,CUST1752,STR060,PRD429,1,199.8,199.8,Cash,10
TXN000102,2024-07-27 15:34:00,CUST1425,STR069,PRD314,1,26.67,26.67,Cash,0
TXN000103,2024-08-20 07:15:00,CUST0487,STR067,PRD351,1,100.5,100.5,PayMaya,0
TXN000104,2024-07-27 14:21:00,CUST1433,STR017,PRD222,1,426.37,426.37,Cash,0
TXN000105,2024-08-25 19:50:00,CUST1251,STR077,PRD486,2,106.03,212.06,Cash,5
TXN000106,2024-08-18 09:09:00,CUST0871,STR060,PRD203,2,380.68,761.36,GCash,0
TXN000107,2024-06-06 07:41:00,CUST0053,STR009,PRD053,1,293.62,293.62,GCash,5
TXN000108,2024-07-20 18:28:00,CUST1142,STR011,PRD118,4,159.48,637.92,PayMaya,0
TXN000109,2024-08-02 17:14:00,CUST0847,STR009,PRD308,6,23.72,142.32,Cash,0
TXN000110,2024-07-07 09:47:00,CUST0026,STR025,PRD142,1,67.52,67.52,Cash,0
TXN000111,2024-06-01 07:47:00,CUST0201,STR051,PRD080,1,251.8,251.8,Cash,0
TXN000112,2024-06-23 18:02:00,CUST0656,STR087,PRD091,1,113.22,113.22,GCash,0
TXN000113,2024-07-07 08:32:00,CUST1095,STR012,PRD333,2,28.15,56.3,PayMaya,0
TXN000114,2024-07-01 07:21:00,CUST0912,STR014,PRD104,1,130.99,130.99,Cash,0
TXN000115,2024-08-09 17:23:00,CUST0980,STR032,PRD094,1,81.33,81.33,Cash,0
TXN000116,2024-07-08 11:57:00,CUST1150,STR039,PRD259,1,259.49,259.49,Cash,0
TXN000117,2024-06-13 15:17:00,CUST0750,STR002,PRD470,1,39.57,39.57,Cash,10
TXN000118,2024-07-07 12:33:00,CUST0764,STR088,PRD156,2,69.72,139.44,Cash,0
TXN000119,2024-08-06 08:27:00,CUST1898,STR092,PRD029,2,26.01,52.02,Cash,0
TXN000120,2024-08-13 09:53:00,CUST1649,STR077,PRD168,1,79.95,79.95,Cash,0
TXN000121,2024-07-06 17:13:00,CUST1183,STR044,PRD330,1,108.48,108.48,Cash,0
TXN000122,2024-07-07 20:54:00,CUST0640,STR064,PRD478,1,148.57,148.57,PayMaya,0
TXN000123,2024-08-25 20:10:00,CUST1670,STR076,PRD391,3,181.01,543.03,Cash,0
TXN000124,2024-06-12 07:56:00,CUST1305,STR094,PRD472,2,50.32,100.64,Cash,0
TXN000125,2024-08-06 14:03:00,CUST1190,STR051,PRD188,6,252.52,1515.12,Cash,0
TXN000126,2024-08-15 08:36:00,CUST0058,STR034,PRD298,1,27.11,27.11,Cash,0
TXN000127,2024-07-13 09:16:00,CUST0593,STR051,PRD245,2,703.51,1407.02,Cash,5
TXN000128,2024-07-23 09:06:00,CUST1611,STR022,PRD454,3,92.26,276.78,GCash,0
TXN000129,2024-06-30 15:35:00,CUST0069,STR003,PRD034,2,111.59,223.18,Cash,0
TXN000130,2024-07-01 14:00:00,CUST1875,STR086,PRD074,1,233.73,233.73,Cash,0
TXN000131,2024-07-09 17:28:00,CUST1994,STR019,PRD265,2,179.17,358.34,Cash,0
TXN000132,2024-06-01 07:22:00,CUST0552,STR031,PRD180,2,13.83,27.66,Cash,15
TXN000133,2024-06-11 08:44:00,CUST1955,STR043,PRD196,2,328.81,657.62,Card,0
TXN000134,2024-08-18 15:29:00,CUST1302,STR080,PRD272,1,55.91,55.91,Cash,0
TXN000135,2024-06-23 19:23:00,CUST1342,STR046,PRD058,1,143.23,143.23,Cash,15
TXN000136,2024-06-04 13:08:00,CUST1316,STR064,PRD321,4,111.4,445.6,Cash,0
TXN000137,2024-07-28 09:13:00,CUST1537,STR062,PRD291,1,24.55,24.55,Cash,0
TXN000138,2024-07-02 08:46:00,CUST1459,STR037,PRD063,4,26.67,106.68,Cash,0
TXN000139,2024-08-12 07:25:00,CUST0936,STR053,PRD029,2,26.01,52.02,Cash,0
TXN000140,2024-08-17 07:35:00,CUST1942,STR042,PRD201,1,296.43,296.43,GCash,0
TXN000141,2024-07-14 11:58:00,CUST1233,STR071,PRD006,1,21.1,21.1,Cash,0
TXN000142,2024-07-04 14:44:00,CUST1578,STR063,PRD417,4,122.53,490.12,Cash,0
TXN000143,2024-07-21 18:07:00,CUST1091,STR005,PRD054,1,259.37,259.37,Card,0
TXN000144,2024-06-26 11:43:00,CUST0475,STR078,PRD473,1,37.13,37.13,Cash,0
TXN000145,2024-06-23 09:52:00,CUST0853,STR055,PRD290,2,21.38,42.76,Cash,0
TXN000146,2024-07-07 13:16:00,CUST1701,STR077,PRD076,3,282.12,846.36,Cash,10
TXN000147,2024-07-10 09:28:00,CUST0054,STR010,PRD482,3,123.28,369.84,Cash,0
TXN000148,2024-07-25 09:42:00,CUST1273,STR002,PRD411,2,203.87,407.74,Cash,5
TXN000149,2024-07-18 13:51:00,CUST0695,STR020,PRD267,3,360.57,1081.71,Cash,0
TXN000150,2024-06-27 20:35:00,CUST0136,STR031,PRD202,2,275.14,550.28,Cash,0
TXN000151,2024-08-21 20:33:00,CUST1100,STR049,PRD469,1,125.35,125.35,Cash,0
TXN000152,2024-08-02 13:33:00,CUST1485,STR077,PRD020,2,94.42,188.84,Cash,10
TXN000153,2024-07-21 08:21:00,CUST0162,STR033,PRD098,1,105.56,105.56,GCash,0
TXN000154,2024-06-23 07:11:00,CUST0514,STR087,PRD165,4,25.09,100.36,PayMaya,5
TXN000155,2024-08-16 18:16:00,CUST1745,STR008,PRD387,1,103.67,103.67,Card,0
TXN000156,2024-07-05 15:18:00,CUST1941,STR058,PRD490,1,53.37,53.37,Cash,0
TXN000157,2024-07-10 09:11:00,CUST0984,STR039,PRD415,2,294.58,589.16,GCash,0
TXN000158,2024-08-15 09:24:00,CUST0870,STR044,PRD309,1,58.59,58.59,Cash,0
TXN000159,2024-07-05 09:54:00,CUST0031,STR093,PRD059,2,87.83,175.66,Cash,0
TXN000160,2024-06-25 09:48:00,CUST1438,STR041,PRD010,1,102.2,102.2,Cash,0
TXN000161,2024-07-16 17:28:00,CUST0594,STR090,PRD349,2,52.3,104.6,Cash,0
TXN000162,2024-08-18 11:30:00,CUST0669,STR078,PRD369,1,171.82,171.82,Cash,0
TXN000163,2024-06-06 19:26:00,CUST1097,STR026,PRD326,1,87.16,87.16,Cash,5
TXN000164,2024-08-31 18:43:00,CUST0340,STR020,PRD139,1,79.07,79.07,Card,0
TXN000165,2024-08-19 10:25:00,CUST1186,STR035,PRD447,1,44.17,44.17,GCash,0
TXN000166,2024-08-29 17:48:00,CUST1037,STR042,PRD311,3,18.4,55.2,Cash,0
TXN000167,2024-07-21 12:44:00,CUST0659,STR018,PRD003,1,87.13,87.13,Cash,0
TXN000168,2024-07-09 18:04:00,CUST1673,STR071,PRD388,2,172.51,345.02,Card,0
TXN000169,2024-06-23 12:01:00,CUST1946,STR010,PRD136,3,65.86,197.58,Cash,0
TXN000170,2024-06-01 07:24:00,CUST1246,STR020,PRD075,4,178.72,714.88,Cash,0
TXN000171,2024-06-24 20:35:00,CUST0091,STR014,PRD445,1,110.63,110.63,Cash,0
TXN000172,2024-08-02 07:12:00,CUST0061,STR075,PRD187,3,54.24,162.72,Cash,0
TXN000173,2024-06-11 16:58:00,CUST0424,STR069,PRD240,1,180.18,180.18,Cash,0
TXN000174,2024-08-24 13:20:00,CUST1923,STR032,PRD304,1,35.69,35.69,Cash,0
TXN000175,2024-08-12 17:35:00,CUST1205,STR004,PRD087,2,219.19,438.38,Cash,0
TXN000176,2024-07-09 09:47:00,CUST1305,STR003,PRD110,1,210.39,210.39,GCash,0
TXN000177,2024-06-15 19:31:00,CUST0935,STR091,PRD302,1,41.76,41.76,Cash,0
TXN000178,2024-08-22 17:10:00,CUST1575,STR060,PRD129,1,206.2,206.2,Cash,10
TXN000179,2024-07-09 18:14:00,CUST0558,STR056,PRD359,1,65.05,65.05,Card,15
TXN000180,2024-08-22 15:38:00,CUST0286,STR060,PRD263,1,123.08,123.08,Cash,0
TXN000181,2024-06-20 08:09:00,CUST1184,STR063,PRD228,3,349.53,1048.59,Cash,0
TXN000182,2024-07-03 09:57:00,CUST1195,STR095,PRD203,1,380.68,380.68,GCash,0
TXN000183,2024-06-09 09:54:00,CUST0759,STR094,PRD045,2,59.14,118.28,GCash,5
TXN000184,2024-07-11 14:41:00,CUST0424,STR097,PRD035,1,65.42,65.42,Card,0
TXN000185,2024-06-22 11:55:00,CUST1347,STR072,PRD059,1,87.83,87.83,GCash,5
TXN000186,2024-06-23 20:43:00,CUST0684,STR089,PRD411,6,203.87,1223.22,Card,0
TXN000187,2024-06-03 16:36:00,CUST0277,STR089,PRD059,1,87.83,87.83,Cash,0
TXN000188,2024-06-05 09:16:00,CUST0563,STR033,PRD221,1,330.23,330.23,GCash,5
TXN000189,2024-06-13 11:16:00,CUST0468,STR073,PRD225,5,424.62,2123.1,Card,5
TXN000190,2024-06-06 08:27:00,CUST1609,STR081,PRD261,1,396.97,396.97,Cash,0
TXN000191,2024-08-21 15:48:00,CUST0136,STR013,PRD283,3,51.09,153.27,Cash,0
TXN000192,2024-08-28 20:10:00,CUST1562,STR023,PRD005,3,20.83,62.49,Cash,0
TXN000193,2024-08-05 18:20:00,CUST1312,STR063,PRD227,1,749.45,749.45,Card,0
TXN000194,2024-06-23 19:10:00,CUST1861,STR048,PRD008,1,47.42,47.42,Cash,0
TXN000195,2024-08-19 19:11:00,CUST1491,STR048,PRD002,1,102.95,102.95,GCash,0
TXN000196,2024-07-11 09:15:00,CUST1619,STR064,PRD129,3,206.2,618.6,Cash,15
TXN000197,2024-07-02 13:17:00,CUST1312,STR070,PRD111,3,109.28,327.84,GCash,0
TXN000198,2024-06-17 17:30:00,CUST0345,STR097,PRD187,1,54.24,54.24,Cash,15
TXN000199,2024-08-12 16:42:00,CUST0803,STR063,PRD367,1,199.94,199.94,Cash,0
TXN000200,2024-08-03 09:03:00,CUST0200,STR082,PRD486,4,106.03,424.12,GCash,5
TXN000201,2024-07-05 10:18:00,CUST0252,STR083,PRD207,4,461.58,1846.32,Cash,0
TXN000202,2024-07-08 18:05:00,CUST0942,STR093,PRD426,2,143.61,287.22,Cash,10
TXN000203,2024-08-10 18:15:00,CUST0156,STR026,PRD289,2,12.71,25.42,Cash,10
TXN000204,2024-06-10 19:32:00,CUST0651,STR092,PRD204,1,464.92,464.92,Cash,10
TXN000205,2024-07-26 19:55:00,CUST0012,STR049,PRD386,1,187.51,187.51,Card,0
TXN000206,2024-08-11 13:57:00,CUST0819,STR068,PRD076,1,282.12,282.12,Cash,0
TXN000207,2024-08-04 12:04:00,CUST0201,STR035,PRD134,3,145.79,437.37,GCash,0
TXN000208,2024-08-26 08:02:00,CUST0400,STR011,PRD467,1,37.51,37.51,PayMaya,10
TXN000209,2024-08-23 13:11:00,CUST1197,STR100,PRD387,3,103.67,311.01,Cash,0
TXN000210,2024-07-13 10:21:00,CUST1643,STR086,PRD448,2,74.67,149.34,GCash,10
TXN000211,2024-07-24 09:08:00,CUST1544,STR072,PRD107,2,191.72,383.44,GCash,0
TXN000212,2024-08-05 17:05:00,CUST1605,STR058,PRD071,2,271.03,542.06,Cash,5
TXN000213,2024-06-29 10:33:00,CUST1839,STR077,PRD444,1,206.13,206.13,Cash,10
TXN000214,2024-06-07 11:50:00,CUST0082,STR068,PRD422,3,57.41,172.23,Cash,0
TXN000215,2024-08-22 18:29:00,CUST0755,STR048,PRD489,1,113.23,113.23,Cash,0
TXN000216,2024-08-25 07:06:00,CUST0500,STR066,PRD249,1,278.36,278.36,GCash,15
TXN000217,2024-07-03 10:19:00,CUST0813,STR098,PRD468,3,10.19,30.57,Cash,0
TXN000218,2024-07-02 08:48:00,CUST0727,STR065,PRD012,5,42.22,211.1,GCash,10
TXN000219,2024-08-27 17:35:00,CUST0390,STR039,PRD032,4,145.05,580.2,Card,10
TXN000220,2024-07-23 19:42:00,CUST0039,STR060,PRD075,1,178.72,178.72,Cash,5
TXN000221,2024-08-23 08:25:00,CUST0400,STR033,PRD431,1,56.64,56.64,Cash,10
TXN000222,2024-07-10 19:43:00,CUST0440,STR043,PRD045,4,59.14,236.56,Cash,0
TXN000223,2024-08-16 19:31:00,CUST0388,STR036,PRD175,1,41.24,41.24,Cash,0
TXN000224,2024-08-23 09:19:00,CUST1078,STR046,PRD188,1,252.52,252.52,GCash,0
TXN000225,2024-07-11 17:56:00,CUST0754,STR021,PRD455,5,108.74,543.7,Cash,0
TXN000226,2024-06-25 19:19:00,CUST0762,STR067,PRD452,3,144.49,433.47,Cash,0
TXN000227,2024-06-21 10:05:00,CUST0040,STR062,PRD103,1,122.82,122.82,Cash,0
TXN000228,2024-07-16 17:28:00,CUST0181,STR035,PRD061,5,152.24,761.2,Cash,0
TXN000229,2024-06-30 12:01:00,CUST1942,STR096,PRD472,1,50.32,50.32,Cash,0
TXN000230,2024-06-07 08:13:00,CUST1563,STR096,PRD420,6,296.62,1779.72,Card,0
TXN000231,2024-06-13 17:21:00,CUST0047,STR060,PRD236,2,567.73,1135.46,Cash,0
TXN000232,2024-07-23 08:58:00,CUST1894,STR006,PRD141,1,33.94,33.94,GCash,5
TXN000233,2024-07-13 14:36:00,CUST0836,STR024,PRD323,2,62.81,125.62,Cash,0
TXN000234,2024-06-21 09:40:00,CUST1161,STR049,PRD420,5,296.62,1483.1,GCash,0
TXN000235,2024-07-30 17:51:00,CUST0334,STR018,PRD079,3,93.08,279.24,Cash,15
TXN000236,2024-06-20 18:22:00,CUST0150,STR039,PRD330,1,108.48,108.48,Card,0
TXN000237,2024-08-20 09:24:00,CUST0715,STR042,PRD474,1,87.27,87.27,Cash,0
TXN000238,2024-08-26 07:51:00,CUST0028,STR041,PRD038,1,141.49,141.49,Cash,0
TXN000239,2024-07-08 16:44:00,CUST0675,STR007,PRD003,1,87.13,87.13,Cash,0
TXN000240,2024-07-20 15:00:00,CUST0404,STR057,PRD293,1,13.23,13.23,Cash,0
TXN000241,2024-08-19 18:40:00,CUST0583,STR002,PRD328,1,56.48,56.48,GCash,0
TXN000242,2024-08-04 09:07:00,CUST1263,STR096,PRD454,1,92.26,92.26,GCash,5
TXN000243,2024-08-08 08:51:00,CUST1010,STR095,PRD493,2,18.02,36.04,Card,10
TXN000244,2024-07-01 20:49:00,CUST0694,STR096,PRD447,1,44.17,44.17,GCash,0
TXN000245,2024-08-28 14:49:00,CUST1595,STR001,PRD138,3,68.76,206.28,Cash,10
TXN000246,2024-08-20 08:49:00,CUST1649,STR078,PRD369,1,171.82,171.82,GCash,0
TXN000247,2024-08-11 08:19:00,CUST1146,STR021,PRD458,1,126.14,126.14,GCash,0
TXN000248,2024-06-29 09:04:00,CUST1560,STR027,PRD016,1,123.1,123.1,Card,0
TXN000249,2024-08-17 18:03:00,CUST1900,STR055,PRD277,1,12.81,12.81,Cash,10
TXN000250,2024-06-13 12:22:00,CUST1074,STR039,PRD169,1,79.43,79.43,Cash,0
TXN000251,2024-08-02 16:01:00,CUST1264,STR015,PRD231,1,281.73,281.73,GCash,5
TXN000252,2024-08-28 20:19:00,CUST0351,STR029,PRD010,2,102.2,204.4,Cash,5
TXN000253,2024-08-21 11:49:00,CUST1590,STR027,PRD043,1,36.15,36.15,Cash,0
TXN000254,2024-08-27 12:27:00,CUST1019,STR040,PRD344,1,64.13,64.13,GCash,10
TXN000255,2024-06-24 18:49:00,CUST0057,STR003,PRD416,1,278.51,278.51,Cash,0
TXN000256,2024-07-28 13:27:00,CUST0380,STR086,PRD453,4,135.92,543.68,GCash,0
TXN000257,2024-08-23 18:12:00,CUST1166,STR085,PRD262,1,451.51,451.51,Cash,15
TXN000258,2024-07-21 17:05:00,CUST0061,STR017,PRD208,2,261.49,522.98,PayMaya,5
TXN000259,2024-07-27 07:17:00,CUST1481,STR023,PRD290,1,21.38,21.38,Cash,0
TXN000260,2024-07-05 19:57:00,CUST0796,STR058,PRD423,2,245.63,491.26,Cash,0
TXN000261,2024-07-21 14:21:00,CUST0789,STR076,PRD400,2,76.24,152.48,Cash,5
TXN000262,2024-06-14 12:39:00,CUST1397,STR076,PRD123,1,82.22,82.22,Cash,5
TXN000263,2024-07-07 14:00:00,CUST1526,STR041,PRD370,1,130.72,130.72,Cash,0
TXN000264,2024-06-22 10:11:00,CUST0774,STR003,PRD276,2,58.17,116.34,Card,0
TXN000265,2024-07-20 13:43:00,CUST0630,STR043,PRD168,2,79.95,159.9,Cash,15
TXN000266,2024-07-24 20:13:00,CUST0223,STR094,PRD281,2,24.2,48.4,Cash,0
TXN000267,2024-06-15 20:51:00,CUST0028,STR091,PRD354,2,79.35,158.7,Card,0
TXN000268,2024-07-17 07:04:00,CUST1377,STR080,PRD302,1,41.76,41.76,Cash,0
TXN000269,2024-08-01 10:08:00,CUST0593,STR056,PRD302,2,41.76,83.52,Cash,10
TXN000270,2024-08-01 09:15:00,CUST1634,STR060,PRD471,2,79.6,159.2,PayMaya,0
TXN000271,2024-08-01 08:35:00,CUST0806,STR040,PRD409,2,185.72,371.44,GCash,0
TXN000272,2024-06-05 15:48:00,CUST0035,STR089,PRD057,3,188.99,566.97,Cash,15
TXN000273,2024-06-14 09:19:00,CUST1654,STR017,PRD318,1,61.47,61.47,GCash,0
TXN000274,2024-08-17 08:53:00,CUST1465,STR054,PRD348,1,112.82,112.82,Cash,0
TXN000275,2024-08-06 12:24:00,CUST0692,STR043,PRD469,3,125.35,376.05,Card,0
TXN000276,2024-08-28 09:48:00,CUST0579,STR017,PRD104,1,130.99,130.99,Card,10
TXN000277,2024-06-29 08:59:00,CUST0434,STR023,PRD196,1,328.81,328.81,Cash,0
