recommendation_id,customer_id,product_id,recommendation_score,recommendation_type,created_date
REC00035,CUST1817,PRD382,0.622,Popular,2025-08-30
REC00036,CUST1817,PRD308,0.845,Popular,2025-08-14
REC00037,CUST1817,PRD337,0.899,Popular,2025-09-02
REC00038,CUST1817,PRD158,0.948,Category,2025-09-05
REC00039,CUST1817,PRD157,0.841,Popular,2025-08-29
REC00040,CUST0546,PRD446,0.557,Similar,2025-08-16
REC00041,CUST0546,PRD494,0.603,Popular,2025-08-21
REC00042,CUST0546,PRD312,0.624,Category,2025-09-07
REC00043,CUST0966,PRD068,0.95,Popular,2025-08-11
REC00044,CUST0966,PRD196,0.928,Popular,2025-08-12
REC00045,CUST0966,PRD012,0.906,Popular,2025-09-03
REC00046,CUST0966,PRD257,0.799,Category,2025-08-28
REC00047,CUST0966,PRD455,0.821,Category,2025-08-25
REC00048,CUST1918,PRD327,0.986,Category,2025-08-14
REC00049,CUST1918,PRD422,0.589,Seasonal,2025-08-27
REC00050,CUST1918,PRD370,0.599,Similar,2025-09-01
REC00051,CUST1918,PRD199,0.95,Popular,2025-08-19
REC00052,CUST0592,PRD453,0.906,Seasonal,2025-09-02
REC00053,CUST0592,PRD236,0.95,Popular,2025-08-27
REC00054,CUST0592,PRD319,0.931,Popular,2025-09-08
REC00055,CUST0592,PRD465,0.799,Popular,2025-08-15
REC00056,CUST0592,PRD187,0.725,Seasonal,2025-08-18
REC00057,CUST0940,PRD385,0.915,Category,2025-09-08
REC00058,CUST0940,PRD389,0.886,Similar,2025-08-16
REC00059,CUST0940,PRD300,0.753,Popular,2025-08-23
REC00060,CUST0940,PRD228,0.837,Category,2025-09-04
REC00061,CUST0940,PRD030,0.542,Category,2025-08-19
REC00062,CUST0220,PRD237,0.816,Category,2025-08-30
REC00063,CUST0220,PRD459,0.945,Similar,2025-08-27
REC00064,CUST0220,PRD023,0.924,Category,2025-08-18
REC00065,CUST0220,PRD213,0.883,Similar,2025-08-22
REC00066,CUST0220,PRD264,0.95,Popular,2025-08-28
REC00067,CUST0818,PRD145,0.939,Category,2025-08-29
REC00068,CUST0818,PRD374,0.699,Popular,2025-08-27
REC00069,CUST0818,PRD400,0.741,Popular,2025-09-08
REC00070,CUST0798,PRD417,0.609,Popular,2025-09-05
REC00071,CUST0798,PRD258,0.734,Category,2025-09-04
REC00072,CUST0798,PRD023,0.771,Seasonal,2025-08-19
REC00073,CUST1483,PRD059,0.582,Category,2025-08-29
REC00074,CUST1483,PRD427,0.609,Seasonal,2025-08-31
REC00075,CUST1483,PRD108,0.999,Popular,2025-08-31
REC00076,CUST1483,PRD340,0.798,Popular,2025-08-12
REC00077,CUST1483,PRD294,0.804,Similar,2025-08-28
REC00078,CUST1293,PRD355,0.975,Popular,2025-09-05
REC00079,CUST1293,PRD464,0.78,Category,2025-08-13
REC00080,CUST1293,PRD470,0.572,Popular,2025-08-25
REC00081,CUST1293,PRD139,0.785,Popular,2025-08-12
REC00082,CUST1293,PRD041,0.663,Similar,2025-08-28
REC00083,CUST0223,PRD269,0.945,Popular,2025-09-09
REC00084,CUST0223,PRD101,0.58,Similar,2025-08-31
REC00085,CUST0223,PRD129,0.871,Popular,2025-08-18
REC00086,CUST0223,PRD107,0.95,Seasonal,2025-08-25
REC00087,CUST0897,PRD371,0.952,Similar,2025-08-25
REC00088,CUST0897,PRD158,0.658,Similar,2025-08-11
REC00089,CUST0897,PRD173,0.505,Category,2025-08-12
REC00090,CUST1135,PRD269,0.764,Popular,2025-08-15
REC00091,CUST1135,PRD121,0.847,Similar,2025-08-22
REC00092,CUST1135,PRD280,0.591,Similar,2025-08-16
REC00093,CUST0720,PRD332,0.925,Popular,2025-09-02
REC00094,CUST0720,PRD348,0.507,Similar,2025-08-13
REC00095,CUST0720,PRD148,0.6,Category,2025-09-09
REC00096,CUST1564,PRD009,0.861,Popular,2025-08-19
REC00097,CUST1564,PRD201,0.95,Popular,2025-08-20
REC00098,CUST1564,PRD128,0.767,Seasonal,2025-09-08
REC00099,CUST1981,PRD026,0.987,Popular,2025-09-07
REC00100,CUST1981,PRD418,0.95,Seasonal,2025-08-15
REC00101,CUST1981,PRD169,0.932,Similar,2025-08-12
REC00102,CUST1981,PRD005,0.772,Similar,2025-08-12
REC00103,CUST1981,PRD414,0.861,Similar,2025-09-02
REC00104,CUST1431,PRD387,0.978,Popular,2025-08-16
REC00105,CUST1431,PRD086,0.586,Popular,2025-08-26
REC00106,CUST1431,PRD258,0.808,Category,2025-09-01
REC00107,CUST1431,PRD263,0.871,Seasonal,2025-09-05
REC00108,CUST1116,PRD272,0.568,Popular,2025-08-11
REC00109,CUST1116,PRD005,0.544,Popular,2025-08-30
REC00110,CUST1116,PRD078,0.934,Popular,2025-08-27
REC00111,CUST1116,PRD211,0.901,Similar,2025-09-05
REC00112,CUST1116,PRD386,0.659,Popular,2025-08-20
REC00113,CUST1842,PRD384,0.852,Similar,2025-09-07
REC00114,CUST1842,PRD313,0.684,Popular,2025-08-24
REC00115,CUST1842,PRD108,0.925,Category,2025-08-27
REC00116,CUST1842,PRD448,0.884,Popular,2025-08-24
REC00117,CUST1760,PRD378,0.539,Seasonal,2025-09-07
REC00118,CUST1760,PRD137,0.88,Similar,2025-08-12
REC00119,CUST1760,PRD127,0.652,Category,2025-08-22
REC00120,CUST1760,PRD460,0.723,Category,2025-08-25
REC00121,CUST1760,PRD040,0.91,Popular,2025-08-29
REC00122,CUST1264,PRD449,0.684,Similar,2025-08-14
REC00123,CUST1264,PRD102,0.544,Popular,2025-08-16
REC00124,CUST1264,PRD351,0.548,Seasonal,2025-08-30
REC00125,CUST0999,PRD008,0.552,Category,2025-08-30
REC00126,CUST0999,PRD178,0.81,Popular,2025-09-05
REC00127,CUST0999,PRD340,0.858,Popular,2025-08-18
REC00128,CUST0999,PRD233,0.679,Seasonal,2025-08-11
REC00129,CUST0999,PRD182,0.852,Seasonal,2025-08-21
REC00130,CUST1622,PRD138,0.803,Popular,2025-08-31
REC00131,CUST1622,PRD140,0.897,Popular,2025-09-07
REC00132,CUST1622,PRD094,0.504,Similar,2025-08-23
REC00133,CUST1622,PRD490,0.885,Seasonal,2025-09-02
REC00134,CUST1052,PRD136,0.666,Similar,2025-08-30
REC00135,CUST1052,PRD251,0.95,Similar,2025-08-31
REC00136,CUST1052,PRD454,0.955,Seasonal,2025-08-25
REC00137,CUST1052,PRD476,0.744,Similar,2025-08-31
REC00138,CUST1052,PRD409,0.604,Category,2025-08-17
REC00139,CUST1560,PRD241,0.95,Category,2025-08-25
REC00140,CUST1560,PRD357,0.903,Popular,2025-09-02
REC00141,CUST1560,PRD454,0.88,Popular,2025-08-22
REC00142,CUST1560,PRD069,0.932,Similar,2025-08-20
REC00143,CUST0483,PRD317,0.853,Popular,2025-09-03
REC00144,CUST0483,PRD337,0.537,Popular,2025-08-14
REC00145,CUST0483,PRD294,0.503,Popular,2025-08-29
REC00146,CUST0483,PRD409,0.613,Similar,2025-09-02
REC00147,CUST0483,PRD429,0.604,Popular,2025-08-29
REC00148,CUST0325,PRD319,0.507,Popular,2025-08-25
REC00149,CUST0325,PRD394,0.518,Category,2025-08-20
REC00150,CUST0325,PRD091,0.557,Popular,2025-09-03
REC00151,CUST0325,PRD210,0.673,Category,2025-08-20
REC00152,CUST1909,PRD306,0.718,Popular,2025-08-25
REC00153,CUST1909,PRD330,0.572,Category,2025-08-16
REC00154,CUST1909,PRD074,0.95,Popular,2025-09-06
REC00155,CUST1909,PRD122,0.966,Similar,2025-08-25
REC00156,CUST0602,PRD166,0.718,Similar,2025-08-31
REC00157,CUST0602,PRD132,0.574,Popular,2025-09-09
REC00158,CUST0602,PRD128,0.95,Similar,2025-08-19
REC00159,CUST0602,PRD289,0.696,Similar,2025-08-12
REC00160,CUST0602,PRD206,0.95,Category,2025-09-01
REC00161,CUST0648,PRD352,0.725,Seasonal,2025-08-30
REC00162,CUST0648,PRD242,0.95,Similar,2025-08-23
REC00163,CUST0648,PRD420,0.742,Popular,2025-08-26
REC00164,CUST0648,PRD429,0.543,Popular,2025-08-12
REC00165,CUST0144,PRD418,0.808,Category,2025-08-18
REC00166,CUST0144,PRD315,0.624,Category,2025-08-16
REC00167,CUST0144,PRD317,0.725,Seasonal,2025-08-12
REC00168,CUST0144,PRD011,0.572,Popular,2025-08-19
REC00169,CUST0156,PRD467,0.922,Popular,2025-09-04
REC00170,CUST0156,PRD389,0.824,Category,2025-08-29
REC00171,CUST0156,PRD199,0.883,Popular,2025-08-22
REC00172,CUST0156,PRD462,0.841,Popular,2025-08-14
REC00173,CUST0156,PRD094,0.544,Category,2025-08-23
REC00174,CUST1209,PRD129,0.803,Category,2025-08-23
REC00175,CUST1209,PRD314,0.979,Seasonal,2025-08-16
REC00176,CUST1209,PRD035,0.747,Popular,2025-08-24
REC00177,CUST0998,PRD239,0.828,Popular,2025-09-03
REC00178,CUST0998,PRD255,0.904,Popular,2025-08-17
REC00179,CUST0998,PRD166,0.713,Similar,2025-08-20
REC00180,CUST0998,PRD347,0.538,Similar,2025-08-12
REC00181,CUST0998,PRD293,0.866,Seasonal,2025-09-06
REC00182,CUST1080,PRD435,0.887,Popular,2025-09-03
REC00183,CUST1080,PRD008,0.867,Similar,2025-09-03
REC00184,CUST1080,PRD455,0.529,Category,2025-08-15
REC00185,CUST1080,PRD347,0.612,Popular,2025-08-15
REC00186,CUST1080,PRD304,0.853,Similar,2025-08-26
REC00187,CUST1789,PRD039,0.71,Popular,2025-08-23
REC00188,CUST1789,PRD251,0.95,Similar,2025-08-19
REC00189,CUST1789,PRD357,0.878,Category,2025-08-29
REC00190,CUST1789,PRD148,0.722,Similar,2025-08-11
REC00191,CUST1789,PRD373,0.759,Seasonal,2025-08-29
REC00192,CUST0666,PRD411,0.95,Similar,2025-08-27
REC00193,CUST0666,PRD326,0.537,Category,2025-08-11
REC00194,CUST0666,PRD302,0.548,Seasonal,2025-08-11
REC00195,CUST1667,PRD213,0.933,Category,2025-09-06
REC00196,CUST1667,PRD371,0.691,Similar,2025-09-03
REC00197,CUST1667,PRD384,0.541,Similar,2025-08-23
REC00198,CUST1667,PRD335,0.654,Popular,2025-09-02
REC00199,CUST1667,PRD071,0.95,Similar,2025-08-12
REC00200,CUST1211,PRD168,0.827,Popular,2025-09-08
REC00201,CUST1211,PRD085,0.973,Popular,2025-08-31
REC00202,CUST1211,PRD308,0.846,Popular,2025-08-17
REC00203,CUST1211,PRD067,0.95,Seasonal,2025-08-23
REC00204,CUST1211,PRD120,0.702,Popular,2025-09-08
REC00205,CUST0980,PRD207,0.739,Category,2025-09-06
REC00206,CUST0980,PRD225,0.729,Similar,2025-09-09
REC00207,CUST0980,PRD386,0.525,Similar,2025-09-03
REC00208,CUST0980,PRD262,0.95,Similar,2025-08-21
REC00209,CUST1925,PRD414,0.95,Popular,2025-08-24
REC00210,CUST1925,PRD386,0.927,Similar,2025-09-03
REC00211,CUST1925,PRD387,0.736,Seasonal,2025-08-13
REC00212,CUST1925,PRD011,0.666,Similar,2025-08-11
REC00213,CUST1925,PRD057,0.834,Seasonal,2025-08-22
REC00214,CUST0438,PRD041,0.644,Popular,2025-08-14
REC00215,CUST0438,PRD392,0.759,Category,2025-08-14
REC00216,CUST0438,PRD287,0.565,Similar,2025-08-23
REC00217,CUST0675,PRD219,0.79,Similar,2025-08-29
REC00218,CUST0675,PRD335,0.708,Popular,2025-08-30
REC00219,CUST0675,PRD084,0.625,Seasonal,2025-09-01
REC00220,CUST0675,PRD437,0.922,Popular,2025-08-19
REC00221,CUST0513,PRD121,0.979,Popular,2025-09-05
REC00222,CUST0513,PRD135,0.95,Popular,2025-08-11
REC00223,CUST0513,PRD450,0.527,Category,2025-09-08
REC00224,CUST0513,PRD423,0.866,Category,2025-08-21
REC00225,CUST0513,PRD288,0.875,Similar,2025-09-08
REC00226,CUST0133,PRD470,0.853,Popular,2025-08-17
REC00227,CUST0133,PRD311,0.847,Popular,2025-08-24
REC00228,CUST0133,PRD433,0.62,Popular,2025-08-29
REC00229,CUST0133,PRD026,0.948,Similar,2025-09-06
REC00230,CUST1047,PRD051,0.807,Popular,2025-09-04
REC00231,CUST1047,PRD062,0.835,Similar,2025-08-27
REC00232,CUST1047,PRD474,0.752,Popular,2025-08-12
REC00233,CUST1047,PRD088,0.732,Popular,2025-09-09
REC00234,CUST1047,PRD211,0.604,Similar,2025-08-26
REC00235,CUST1794,PRD346,0.588,Similar,2025-09-01
REC00236,CUST1794,PRD275,0.705,Seasonal,2025-09-07
REC00237,CUST1794,PRD330,0.838,Popular,2025-08-31
REC00238,CUST1794,PRD225,0.818,Popular,2025-08-25
REC00239,CUST1794,PRD237,0.95,Popular,2025-09-06
REC00240,CUST0003,PRD350,0.686,Popular,2025-08-12
REC00241,CUST0003,PRD101,0.905,Popular,2025-09-08
REC00242,CUST0003,PRD470,0.966,Category,2025-08-20
REC00243,CUST0003,PRD449,0.557,Category,2025-08-20
REC00244,CUST0003,PRD015,0.637,Popular,2025-08-15
REC00245,CUST1708,PRD285,0.917,Seasonal,2025-08-22
REC00246,CUST1708,PRD394,0.918,Similar,2025-08-15
REC00247,CUST1708,PRD306,0.676,Similar,2025-08-17
REC00248,CUST0135,PRD466,0.848,Category,2025-09-08
REC00249,CUST0135,PRD080,0.95,Seasonal,2025-09-05
REC00250,CUST0135,PRD120,0.93,Popular,2025-08-20
REC00251,CUST0135,PRD196,0.86,Popular,2025-08-12
REC00252,CUST1663,PRD153,0.641,Popular,2025-08-24
REC00253,CUST1663,PRD211,0.583,Popular,2025-08-15
REC00254,CUST1663,PRD311,0.74,Popular,2025-09-09
REC00255,CUST1663,PRD066,0.534,Category,2025-09-06
REC00256,CUST1663,PRD340,0.813,Popular,2025-08-13
REC00257,CUST1538,PRD209,0.792,Popular,2025-08-19
REC00258,CUST1538,PRD034,0.937,Popular,2025-09-06
REC00259,CUST1538,PRD157,0.514,Similar,2025-08-19
REC00260,CUST1129,PRD382,0.757,Similar,2025-08-28
REC00261,CUST1129,PRD219,0.877,Similar,2025-09-01
REC00262,CUST1129,PRD396,0.613,Popular,2025-09-03
REC00263,CUST0799,PRD314,0.753,Category,2025-09-02
REC00264,CUST0799,PRD455,0.769,Popular,2025-08-30
REC00265,CUST0799,PRD051,0.778,Category,2025-08-23
REC00266,CUST0970,PRD231,0.907,Category,2025-08-16
REC00267,CUST0970,PRD488,0.517,Category,2025-08-30
REC00268,CUST0970,PRD274,0.866,Popular,2025-09-05
REC00269,CUST0970,PRD021,0.63,Similar,2025-09-09
REC00270,CUST0970,PRD402,0.537,Seasonal,2025-09-07
REC00271,CUST0456,PRD341,0.569,Popular,2025-09-09
REC00272,CUST0456,PRD433,0.614,Category,2025-08-27
REC00273,CUST0456,PRD007,0.658,Popular,2025-09-07
REC00274,CUST0947,PRD227,0.95,Popular,2025-08-16
REC00275,CUST0947,PRD259,0.945,Popular,2025-08-24
REC00276,CUST0947,PRD483,0.761,Similar,2025-08-11
REC00277,CUST0947,PRD375,0.772,Popular,2025-08-25
REC00278,CUST0520,PRD082,0.632,Similar,2025-08-25
REC00279,CUST0520,PRD303,0.708,Similar,2025-08-29
REC00280,CUST0520,PRD494,0.632,Category,2025-08-12
REC00281,CUST0520,PRD025,0.732,Popular,2025-09-07
REC00282,CUST0659,PRD186,0.743,Seasonal,2025-08-31
REC00283,CUST0659,PRD198,0.95,Similar,2025-08-12
REC00284,CUST0659,PRD280,0.672,Popular,2025-08-19
REC00285,CUST0659,PRD309,0.536,Popular,2025-08-22
REC00286,CUST0659,PRD457,0.564,Similar,2025-08-18
REC00287,CUST1509,PRD102,0.57,Similar,2025-09-08
REC00288,CUST1509,PRD264,0.95,Similar,2025-08-18
REC00289,CUST1509,PRD178,0.86,Popular,2025-08-20
REC00290,CUST1509,PRD252,0.943,Category,2025-08-23
REC00291,CUST1409,PRD177,0.83,Seasonal,2025-08-27
REC00292,CUST1409,PRD245,0.816,Category,2025-09-07
REC00293,CUST1409,PRD105,0.974,Similar,2025-09-08
REC00294,CUST1409,PRD338,0.529,Similar,2025-08-14
REC00295,CUST1409,PRD009,0.577,Category,2025-08-24
REC00296,CUST0380,PRD402,0.831,Category,2025-08-19
REC00297,CUST0380,PRD107,0.878,Similar,2025-08-21
REC00298,CUST0380,PRD055,0.725,Similar,2025-08-22
REC00299,CUST0380,PRD128,0.92,Popular,2025-09-05
REC00300,CUST0380,PRD472,0.932,Popular,2025-08-23
REC00301,CUST1798,PRD373,0.705,Category,2025-08-30
REC00302,CUST1798,PRD458,0.994,Popular,2025-08-31
REC00303,CUST1798,PRD347,0.701,Similar,2025-08-17
REC00304,CUST1785,PRD248,0.713,Similar,2025-08-19
REC00305,CUST1785,PRD495,0.574,Popular,2025-08-21
REC00306,CUST1785,PRD320,0.985,Popular,2025-08-19
REC00307,CUST1785,PRD329,0.887,Similar,2025-08-29
REC00308,CUST0286,PRD225,0.95,Seasonal,2025-08-27
REC00309,CUST0286,PRD029,0.848,Similar,2025-08-19
REC00310,CUST0286,PRD397,0.753,Popular,2025-08-31
REC00311,CUST0286,PRD108,0.806,Popular,2025-08-25
REC00312,CUST1336,PRD073,0.901,Popular,2025-08-11
REC00313,CUST1336,PRD450,0.701,Similar,2025-08-11
REC00314,CUST1336,PRD326,0.76,Popular,2025-08-25
REC00315,CUST0485,PRD186,0.593,Similar,2025-09-02
REC00316,CUST0485,PRD313,0.622,Category,2025-08-21
REC00317,CUST0485,PRD212,0.877,Seasonal,2025-08-23
REC00318,CUST0485,PRD226,0.885,Popular,2025-08-23
REC00319,CUST1096,PRD484,0.573,Similar,2025-08-30
REC00320,CUST1096,PRD047,0.542,Similar,2025-09-02
REC00321,CUST1096,PRD197,0.95,Popular,2025-08-19
REC00322,CUST0707,PRD300,0.835,Similar,2025-09-01
REC00323,CUST0707,PRD075,0.758,Category,2025-08-12
REC00324,CUST0707,PRD069,0.839,Popular,2025-08-20
REC00325,CUST1855,PRD341,0.807,Popular,2025-09-05
REC00326,CUST1855,PRD011,0.884,Category,2025-08-20
REC00327,CUST1855,PRD042,0.839,Popular,2025-08-15
REC00328,CUST1855,PRD272,0.981,Similar,2025-08-17
REC00329,CUST1855,PRD099,0.767,Popular,2025-09-05
REC00330,CUST0218,PRD345,0.533,Seasonal,2025-08-23
REC00331,CUST0218,PRD268,0.67,Popular,2025-09-03
REC00332,CUST0218,PRD163,0.678,Category,2025-08-14
REC00333,CUST0218,PRD156,0.89,Popular,2025-09-07
REC00334,CUST0218,PRD249,0.748,Popular,2025-09-03
REC00335,CUST1181,PRD481,0.785,Category,2025-08-12
REC00336,CUST1181,PRD321,0.835,Similar,2025-08-14
REC00337,CUST1181,PRD251,0.922,Popular,2025-08-28
REC00338,CUST1181,PRD269,0.941,Category,2025-08-25
REC00339,CUST1601,PRD009,0.781,Category,2025-09-02
REC00340,CUST1601,PRD051,0.95,Popular,2025-08-14
REC00341,CUST1601,PRD388,0.979,Similar,2025-08-13
REC00342,CUST0190,PRD203,0.837,Similar,2025-08-25
REC00343,CUST0190,PRD029,0.785,Popular,2025-09-01
REC00344,CUST0190,PRD264,0.95,Category,2025-09-01
REC00345,CUST0427,PRD195,0.731,Popular,2025-08-17
REC00346,CUST0427,PRD397,0.679,Seasonal,2025-08-31
REC00347,CUST0427,PRD029,0.765,Similar,2025-08-24
REC00348,CUST0427,PRD407,0.998,Seasonal,2025-08-11
REC00349,CUST1459,PRD221,0.785,Similar,2025-09-06
REC00350,CUST1459,PRD137,0.97,Similar,2025-08-20
REC00351,CUST1459,PRD109,0.542,Popular,2025-08-15
REC00352,CUST1644,PRD003,0.667,Popular,2025-09-09
REC00353,CUST1644,PRD470,0.994,Similar,2025-08-11
REC00354,CUST1644,PRD290,0.807,Similar,2025-08-27
REC00355,CUST1644,PRD237,0.901,Seasonal,2025-09-06
REC00356,CUST1644,PRD167,0.559,Popular,2025-09-09
REC00357,CUST0820,PRD207,0.95,Similar,2025-08-31
REC00358,CUST0820,PRD070,0.927,Popular,2025-08-15
REC00359,CUST0820,PRD253,0.898,Category,2025-08-27
REC00360,CUST1924,PRD363,0.824,Similar,2025-08-24
REC00361,CUST1924,PRD280,0.637,Seasonal,2025-09-08
REC00362,CUST1924,PRD222,0.805,Similar,2025-08-28
REC00363,CUST1924,PRD199,0.757,Popular,2025-09-08
REC00364,CUST1847,PRD199,0.95,Popular,2025-08-21
REC00365,CUST1847,PRD318,0.941,Similar,2025-09-08
REC00366,CUST1847,PRD302,0.745,Similar,2025-08-14
REC00367,CUST1847,PRD181,0.55,Popular,2025-08-31
REC00368,CUST1847,PRD394,0.783,Popular,2025-08-31
REC00369,CUST1565,PRD041,0.747,Similar,2025-09-08
REC00370,CUST1565,PRD128,0.802,Similar,2025-08-14
REC00371,CUST1565,PRD137,0.534,Similar,2025-09-08
REC00372,CUST1303,PRD392,0.74,Popular,2025-09-07
REC00373,CUST1303,PRD432,0.666,Similar,2025-08-19
REC00374,CUST1303,PRD159,0.79,Seasonal,2025-08-18
REC00375,CUST1303,PRD034,0.994,Popular,2025-08-17
REC00376,CUST0517,PRD142,0.531,Popular,2025-09-03
REC00377,CUST0517,PRD340,0.564,Category,2025-08-26
REC00378,CUST0517,PRD090,0.95,Popular,2025-08-29
REC00379,CUST0517,PRD112,0.594,Popular,2025-08-20
REC00380,CUST0517,PRD280,0.577,Similar,2025-08-23
REC00381,CUST0083,PRD191,0.95,Seasonal,2025-08-22
REC00382,CUST0083,PRD482,0.939,Popular,2025-09-03
REC00383,CUST0083,PRD210,0.733,Similar,2025-08-14
REC00384,CUST0083,PRD440,0.873,Popular,2025-09-06
REC00385,CUST0486,PRD283,0.877,Seasonal,2025-08-30
REC00386,CUST0486,PRD178,0.55,Similar,2025-08-17
REC00387,CUST0486,PRD050,0.898,Popular,2025-08-30
REC00388,CUST0486,PRD236,0.95,Popular,2025-08-21
REC00389,CUST0235,PRD396,0.593,Similar,2025-08-26
REC00390,CUST0235,PRD482,0.715,Popular,2025-08-14
REC00391,CUST0235,PRD015,0.515,Popular,2025-09-02
REC00392,CUST0235,PRD301,0.592,Popular,2025-09-02
REC00393,CUST0235,PRD085,0.826,Seasonal,2025-08-16
REC00394,CUST1130,PRD453,0.548,Category,2025-08-26
REC00395,CUST1130,PRD335,0.574,Category,2025-08-27
REC00396,CUST1130,PRD285,0.558,Popular,2025-08-17
REC00397,CUST1340,PRD161,0.661,Popular,2025-08-15
REC00398,CUST1340,PRD187,0.986,Popular,2025-09-06
REC00399,CUST1340,PRD485,0.836,Popular,2025-09-05
REC00400,CUST1340,PRD059,0.629,Popular,2025-09-05
REC00401,CUST1340,PRD124,0.603,Similar,2025-09-03
REC00402,CUST1222,PRD003,0.908,Popular,2025-08-27
REC00403,CUST1222,PRD023,0.513,Category,2025-08-14
REC00404,CUST1222,PRD139,0.899,Seasonal,2025-09-05
REC00405,CUST1222,PRD403,0.662,Similar,2025-09-08
REC00406,CUST1475,PRD405,0.676,Similar,2025-08-19
REC00407,CUST1475,PRD443,0.809,Category,2025-08-21
REC00408,CUST1475,PRD074,0.735,Category,2025-08-22
REC00409,CUST1963,PRD445,0.755,Popular,2025-08-17
REC00410,CUST1963,PRD451,0.666,Category,2025-08-29
REC00411,CUST1963,PRD020,0.613,Category,2025-08-20
REC00412,CUST1963,PRD422,0.739,Similar,2025-08-18
REC00413,CUST0522,PRD224,0.913,Popular,2025-08-30
REC00414,CUST0522,PRD324,0.804,Similar,2025-08-30
REC00415,CUST0522,PRD185,0.948,Popular,2025-09-08
REC00416,CUST0522,PRD262,0.95,Seasonal,2025-09-09
REC00417,CUST0522,PRD354,0.526,Category,2025-08-21
REC00418,CUST0789,PRD427,0.735,Seasonal,2025-08-24
REC00419,CUST0789,PRD340,0.645,Similar,2025-08-20
REC00420,CUST0789,PRD454,0.591,Popular,2025-08-30
REC00421,CUST0789,PRD266,0.946,Category,2025-09-09
REC00422,CUST1192,PRD471,0.982,Similar,2025-09-04
REC00423,CUST1192,PRD025,0.57,Category,2025-09-03
REC00424,CUST1192,PRD296,0.967,Similar,2025-08-19
REC00425,CUST0061,PRD260,0.621,Category,2025-08-31
REC00426,CUST0061,PRD420,0.95,Popular,2025-08-20
REC00427,CUST0061,PRD183,0.52,Similar,2025-08-21
REC00428,CUST0364,PRD311,0.898,Popular,2025-08-27
REC00429,CUST0364,PRD293,0.655,Similar,2025-08-20
REC00430,CUST0364,PRD072,0.791,Seasonal,2025-08-31
REC00431,CUST0364,PRD274,0.783,Category,2025-09-05
REC00432,CUST0606,PRD008,0.635,Popular,2025-09-06
REC00433,CUST0606,PRD012,0.619,Seasonal,2025-09-05
REC00434,CUST0606,PRD122,0.672,Similar,2025-08-24
REC00435,CUST0606,PRD262,0.95,Category,2025-08-27
REC00436,CUST0606,PRD047,0.826,Similar,2025-08-24
REC00437,CUST0695,PRD173,0.535,Similar,2025-08-19
REC00438,CUST0695,PRD040,0.728,Popular,2025-08-21
REC00439,CUST0695,PRD423,0.95,Category,2025-08-30
REC00440,CUST0565,PRD385,0.625,Popular,2025-08-28
REC00441,CUST0565,PRD142,0.698,Similar,2025-09-09
REC00442,CUST0565,PRD198,0.95,Popular,2025-08-30
REC00443,CUST0565,PRD411,0.95,Popular,2025-08-24
REC00444,CUST1997,PRD358,0.514,Category,2025-08-19
REC00445,CUST1997,PRD095,0.677,Similar,2025-08-20
REC00446,CUST1997,PRD219,0.644,Popular,2025-08-22
REC00447,CUST1727,PRD275,0.927,Popular,2025-09-05
REC00448,CUST1727,PRD241,0.95,Popular,2025-08-29
